,param_kernel,mean_train_log_marginal_likelihood,mean_train_mean_squared_error,mean_test_log_marginal_likelihood,mean_test_mean_squared_error,param_alpha,params,std_train_mean_squared_error,std_test_log_marginal_likelihood,std_test_mean_squared_error,rank_test_mean_squared_error,rank_test_log_marginal_likelihood
5776,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5783,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5790,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5797,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5804,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5811,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5818,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5825,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5832,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5839,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5846,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5853,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5860,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5867,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5874,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
5881,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2,164.8943431488296,-1.1072991143194601e-10,164.8943431488296,-0.00039812642130374607,1.7782794100389227e-07,"{'alpha': 1.7782794100389227e-07, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14) + 1**2}",8.750427839281942e-12,2.519783203447871,0.00010472388637549943,1051,1
