,param_kernel,mean_train_log_marginal_likelihood,mean_train_mean_squared_error,mean_test_log_marginal_likelihood,mean_test_mean_squared_error,param_alpha,params,std_train_mean_squared_error,std_test_log_marginal_likelihood,std_test_mean_squared_error,rank_test_mean_squared_error,rank_test_log_marginal_likelihood,split0_test_mean_squared_error,split1_test_mean_squared_error,split2_test_mean_squared_error,split3_test_mean_squared_error,split4_test_mean_squared_error,split5_test_mean_squared_error,split6_test_mean_squared_error,split7_test_mean_squared_error,split0_train_mean_squared_error,split1_train_mean_squared_error,split2_train_mean_squared_error,split3_train_mean_squared_error,split4_train_mean_squared_error,split5_train_mean_squared_error,split6_train_mean_squared_error,split7_train_mean_squared_error,split0_test_log_marginal_likelihood,split1_test_log_marginal_likelihood,split2_test_log_marginal_likelihood,split3_test_log_marginal_likelihood,split4_test_log_marginal_likelihood,split5_test_log_marginal_likelihood,split6_test_log_marginal_likelihood,split7_test_log_marginal_likelihood,split0_train_log_marginal_likelihood,split1_train_log_marginal_likelihood,split2_train_log_marginal_likelihood,split3_train_log_marginal_likelihood,split4_train_log_marginal_likelihood,split5_train_log_marginal_likelihood,split6_train_log_marginal_likelihood,split7_train_log_marginal_likelihood
63,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",39.444119400259545,-8.312808412422649e-06,39.444119400259545,-0.0001426348123092405,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.043704206432061e-06,1.9603057883959774,0.00018590356219530708,6,1,-0.0005272271291221363,-0.0003765394689384101,-9.827340698547883e-05,-9.50790056836714e-05,-2.6142627961434813e-05,-5.553396703950406e-06,-5.416788524175418e-06,-6.846674554666923e-06,-1.0565322495035098e-05,-1.0516449063786552e-05,-3.25646005190368e-06,-3.2342649083218817e-06,-7.845248568646056e-06,-1.0366399089987856e-05,-1.044282277255366e-05,-1.0275500349146405e-05,42.60899258192065,41.00354310192852,40.90825995376442,40.74937943555565,38.12262679732008,37.37284358042339,37.367021632431175,37.42028811873247,42.60899258192065,41.00354310192852,40.90825995376442,40.74937943555565,38.12262679732008,37.37284358042339,37.367021632431175,37.42028811873247
129,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",39.4268218533601,-8.328076535968878e-06,39.4268218533601,-0.0001426183484503793,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.0182804996067742e-06,1.9482833002347826,0.00018590744225215367,5,2,-0.0005272233166045999,-0.0003765425253315697,-9.835767115787703e-05,-9.486378078498047e-05,-2.6142628667012363e-05,-5.5533997031586285e-06,-5.416789520182323e-06,-6.846675833654015e-06,-1.0565296596647719e-05,-1.0516427893467561e-05,-3.3160118968311477e-06,-3.2968970016588385e-06,-7.845245119313226e-06,-1.0366398871585438e-05,-1.0442827244116047e-05,-1.0275507664131044e-05,42.60899252951578,41.00354293977093,40.8394538696581,40.67980535905988,38.12262679724287,37.3728435804464,37.36702163243339,37.420288118753454,42.60899252951578,41.00354293977093,40.8394538696581,40.67980535905988,38.12262679724287,37.3728435804464,37.36702163243339,37.420288118753454
62,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)",39.23938451338137,-8.695233232274393e-06,39.23938451338137,-0.00015546258560992512,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)}",3.1111101721341618e-06,1.8816752033652278,0.0002204373440135594,18,3,-0.0006708751235519879,-0.00033526525902376555,-9.837342792802811e-05,-9.544117322258022e-05,-2.7084042073082614e-05,-5.272028235851601e-06,-4.943269513503601e-06,-6.446361330601547e-06,-1.0524113061784091e-05,-1.0446124881865716e-05,-3.50750293740241e-06,-3.540971000644237e-06,-8.248573213878025e-06,-1.1120596157815895e-05,-1.1186367524192128e-05,-1.098761708061263e-05,42.307182272188136,40.58658414487072,40.6882263794901,40.54692409065537,38.01568134659268,37.24717837566397,37.23639307789841,37.286906419691505,42.307182272188136,40.58658414487072,40.6882263794901,40.54692409065537,38.01568134659268,37.24717837566397,37.23639307789841,37.286906419691505
128,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)",39.224774819124264,-8.71036966380945e-06,39.224774819124264,-0.00015544602259402957,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)}",3.0859551506859378e-06,1.871110160855086,0.0002204419745923743,17,4,-0.0006708751786577609,-0.00033526524393368,-9.843009667176793e-05,-9.525196502784062e-05,-2.708403892745579e-05,-5.272028147810272e-06,-4.943268204821838e-06,-6.44636118109898e-06,-1.0524113441906796e-05,-1.044612503854003e-05,-3.5712462824870945e-06,-3.5983205671144423e-06,-8.248582461438274e-06,-1.1120595057417737e-05,-1.1186358352862928e-05,-1.0987616108708305e-05,42.30718227218345,40.58658414487253,40.6292540710067,40.48901884489297,38.015681346790736,37.24717837566039,37.236393077895535,37.28690641969178,42.30718227218345,40.58658414487253,40.6292540710067,40.48901884489297,38.015681346790736,37.24717837566039,37.236393077895535,37.28690641969178
195,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",39.216345936178165,-8.461209488320251e-06,39.216345936178165,-0.00014253435288280643,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",2.8251457090241616e-06,1.833757964211678,0.0001863975202302052,4,5,-0.0005302456154279391,-0.0003742991420620492,-9.918405578857273e-05,-9.27375933599577e-05,-2.5991557664713e-05,-5.5533981824094104e-06,-5.416786289343784e-06,-6.846674287466484e-06,-1.0586439489057348e-05,-1.0532199172767546e-05,-3.7854980374376958e-06,-3.764417107628821e-06,-7.936352172530965e-06,-1.036640456455217e-05,-1.0442852229092934e-05,-1.0275513133494533e-05,42.59371301165583,40.988503562987695,40.02433013409342,39.861586811065465,38.10248063863594,37.37284358046973,37.367021631850136,37.42028811866713,42.59371301165583,40.988503562987695,40.02433013409342,39.861586811065465,38.10248063863594,37.37284358046973,37.367021631850136,37.42028811866713
61,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,39.159981583356114,-9.110483617309047e-06,39.159981583356114,-0.00013978039244423002,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.7090063068254825e-06,2.130369366469729,0.000181475803991986,3,6,-0.0005169800187274187,-0.00036461995634599095,-9.8476446454257e-05,-9.531735815138147e-05,-2.612594225841693e-05,-5.265398350192368e-06,-4.951067024149197e-06,-6.506952242033553e-06,-1.0569522881705927e-05,-1.052175302892501e-05,-3.248481703133696e-06,-3.2206927503184493e-06,-7.764703029358235e-06,-1.2725455223052787e-05,-1.2681476728702775e-05,-1.2151783593275491e-05,42.61470546365236,41.020121106241916,40.62853659370884,40.47250283022291,37.83204216465539,36.8951284117044,36.885633402174626,36.93118269448847,42.61470546365236,41.020121106241916,40.62853659370884,40.47250283022291,37.83204216465539,36.8951284117044,36.885633402174626,36.93118269448847
127,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,39.14263860723425,-9.122742923608024e-06,39.14263860723425,-0.0001397691948479668,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.6896161588784763e-06,2.11923651722917,0.00018147935995572158,1,7,-0.0005169802349059272,-0.0003646226769103945,-9.858140027043496e-05,-9.511988533442949e-05,-2.61259352955213e-05,-5.265402725047612e-06,-4.9510750673794185e-06,-6.506948274599805e-06,-1.0569520365693816e-05,-1.0521749583723747e-05,-3.2971224747845314e-06,-3.2700520671134026e-06,-7.764703341586284e-06,-1.2725427469619792e-05,-1.268145477297843e-05,-1.2151913313364193e-05,42.61470546358184,41.02012110606507,40.55966506313268,40.40263055171422,37.83204216466849,36.89512841173504,36.88563340227778,36.931182694698904,42.61470546358184,41.02012110606507,40.55966506313268,40.40263055171422,37.83204216466849,36.89512841173504,36.88563340227778,36.931182694698904
60,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),38.9924501239432,-9.82734842252365e-06,38.9924501239432,-0.00014277201828965288,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.982049707159049e-06,2.1078148755671924,0.0001859192660064206,7,8,-0.0005272264117978715,-0.000376539639499301,-9.899652584666095e-05,-9.591103982551052e-05,-2.765003713488533e-05,-5.121589336309138e-06,-4.58411920078482e-06,-6.146783675899749e-06,-1.0565319100933328e-05,-1.0516449824768489e-05,-3.552297478392471e-06,-3.6961770262712303e-06,-8.861728531501658e-06,-1.4066874737464366e-05,-1.4051032344810293e-05,-1.3308908336047365e-05,42.608993758909335,41.00354481794631,40.19090001436197,40.03898576936626,37.566638107421454,36.838869451622465,36.82470298791106,36.866966084006755,42.608993758909335,41.00354481794631,40.19090001436197,40.03898576936626,37.566638107421454,36.838869451622465,36.82470298791106,36.866966084006755
64,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),38.9924501239432,-9.82734842252365e-06,38.9924501239432,-0.00014277201828965288,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.982049707159049e-06,2.1078148755671924,0.0001859192660064206,7,8,-0.0005272264117978715,-0.000376539639499301,-9.899652584666095e-05,-9.591103982551052e-05,-2.765003713488533e-05,-5.121589336309138e-06,-4.58411920078482e-06,-6.146783675899749e-06,-1.0565319100933328e-05,-1.0516449824768489e-05,-3.552297478392471e-06,-3.6961770262712303e-06,-8.861728531501658e-06,-1.4066874737464366e-05,-1.4051032344810293e-05,-1.3308908336047365e-05,42.608993758909335,41.00354481794631,40.19090001436197,40.03898576936626,37.566638107421454,36.838869451622465,36.82470298791106,36.866966084006755,42.608993758909335,41.00354481794631,40.19090001436197,40.03898576936626,37.566638107421454,36.838869451622465,36.82470298791106,36.866966084006755
126,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),38.97903538368807,-9.846457966140207e-06,38.97903538368807,-0.00014277339866926276,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.9526860727703245e-06,2.100760309934447,0.0001859190917855326,9,10,-0.0005272264308071094,-0.0003765396646641239,-9.907360510984242e-05,-9.584495551162602e-05,-2.7650058846696126e-05,-5.1215911952662425e-06,-4.584111959887554e-06,-6.14677125955051e-06,-1.0565319229845112e-05,-1.051644965119723e-05,-3.6190716188150413e-06,-3.7812245864645513e-06,-8.861769413561145e-06,-1.4067648911006417e-05,-1.4051058051967105e-05,-1.3309122266265042e-05,42.608993758908625,41.003544817865894,40.13418747513722,39.98838038890486,37.566638106648504,36.83886945013812,36.82470298807697,36.866966083824366,42.608993758908625,41.003544817865894,40.13418747513722,39.98838038890486,37.566638106648504,36.83886945013812,36.82470298807697,36.866966083824366
